dataset,dimension,reference,metric,environment_id,paired_n,reference_mean,sc_mean,reference_minus_sc,improvement_percent
main,3,Informed-RRT*,collision_checks,evaluation-3d-00,50,30195.86,9538.62,20657.239999999998,68.41083512772943
main,3,Informed-RRT*,collision_checks,evaluation-3d-01,50,27745.46,9570.62,18174.839999999997,65.50563587700472
main,3,Informed-RRT*,collision_checks,evaluation-3d-02,50,29165.0,9617.28,19547.72,67.02458426195783
main,3,Informed-RRT*,collision_checks,evaluation-3d-03,50,29326.7,9508.56,19818.14,67.57712255385024
main,3,Informed-RRT*,collision_checks,evaluation-3d-04,50,27639.64,9425.48,18214.16,65.89868753717487
main,3,Informed-RRT*,collision_checks,evaluation-3d-05,50,29618.36,9672.08,19946.28,67.34430940808336
main,3,Informed-RRT*,collision_checks,evaluation-3d-06,50,29134.7,9561.08,19573.620000000003,67.18318705873067
main,3,Informed-RRT*,collision_checks,evaluation-3d-07,50,23113.24,9347.24,13766.000000000002,59.55893678255408
main,3,Informed-RRT*,collision_checks,evaluation-3d-08,50,29318.82,9597.74,19721.08,67.26423505448037
main,3,Informed-RRT*,collision_checks,evaluation-3d-09,50,30868.62,9676.34,21192.28,68.65315002743887
main,3,Informed-RRT*,efficiency_all_runs,evaluation-3d-00,50,0.9889363818505772,0.9145938267430485,0.07434255510752874,7.517425435235073
main,3,Informed-RRT*,efficiency_all_runs,evaluation-3d-01,50,0.970636411035222,0.8976163947894633,0.07302001624575871,7.522900997282801
main,3,Informed-RRT*,efficiency_all_runs,evaluation-3d-02,50,0.9827149765611403,0.9128703104813303,0.06984466607980999,7.10731674449703
main,3,Informed-RRT*,efficiency_all_runs,evaluation-3d-03,50,0.9648865712847216,0.9094356564391292,0.05545091484559239,5.746884296644416
main,3,Informed-RRT*,efficiency_all_runs,evaluation-3d-04,50,0.9704480487761216,0.9036401681727071,0.06680788060341447,6.884230504422064
main,3,Informed-RRT*,efficiency_all_runs,evaluation-3d-05,50,0.9877639884154965,0.9127550757248747,0.07500891269062182,7.593809206483219
main,3,Informed-RRT*,efficiency_all_runs,evaluation-3d-06,50,0.9848349692498616,0.9141417426303426,0.07069322661951893,7.178179982110629
main,3,Informed-RRT*,efficiency_all_runs,evaluation-3d-07,50,0.9493567634280313,0.8997765333982858,0.04958023002974554,5.22250769570718
main,3,Informed-RRT*,efficiency_all_runs,evaluation-3d-08,50,0.9843953348313693,0.9157345636727651,0.06866077115860425,6.974918381786734
main,3,Informed-RRT*,efficiency_all_runs,evaluation-3d-09,50,0.9904080207325859,0.9209602314343168,0.06944778929826911,7.012038255394975
main,3,Dynamic-RRT,fixed_budget_cost_mm,evaluation-3d-00,50,2884.677313392352,2557.488363359238,327.188950033114,11.342306763883515
