epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
51,767.045,0.82906,0.00644,0.02854,0.44754,0.91054,0.9951,1,0.995,0.59338,0.9951,1,0.995,0.995,1.54118,0.00655,0.00023,0.52594,1.17175,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101
52,781.501,0.82266,0.00719,0.02946,0.4496,0.91427,0.99501,1,0.995,0.57584,0.99501,1,0.995,0.995,1.52511,0.00597,0.00026,0.52873,1.14225,0.0029706,0.0009902,0.0029706,0.0009902,0.0029706,0.0009902,0.0029706,0.0009902
53,796.272,0.85728,0.00671,0.03233,0.46029,0.90495,1,1,0.995,0.65622,1,1,0.995,0.995,1.30526,0.00623,0.00025,0.47711,1.11007,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704
54,810.645,0.80274,0.00642,0.02298,0.43933,0.90693,0.99505,1,0.995,0.58841,0.99505,1,0.995,0.995,1.55968,0.00884,0.00023,0.54796,1.15566,0.0028518,0.0009506,0.0028518,0.0009506,0.0028518,0.0009506,0.0028518,0.0009506
55,825.405,0.8141,0.0064,0.04239,0.44662,0.90002,0.99664,1,0.995,0.5091,0.99664,1,0.995,0.995,1.76686,0.00937,0.00019,0.60025,1.18205,0.0027924,0.0009308,0.0027924,0.0009308,0.0027924,0.0009308,0.0027924,0.0009308
56,839.818,0.8247,0.0069,0.03139,0.43743,0.89761,0.9952,1,0.995,0.59829,0.9952,1,0.995,0.995,1.48272,0.00656,0.00017,0.48428,1.11407,0.002733,0.000911,0.002733,0.000911,0.002733,0.000911,0.002733,0.000911
57,854.553,0.79328,0.00616,0.01949,0.42683,0.90038,0.99521,1,0.995,0.61086,0.99521,1,0.995,0.995,1.49186,0.00678,0.00019,0.51193,1.08845,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912
58,868.975,0.78803,0.00544,0.02166,0.42125,0.89211,0.99501,1,0.995,0.56496,0.99501,1,0.995,0.995,1.56464,0.00783,0.00017,0.53933,1.10801,0.0026142,0.0008714,0.0026142,0.0008714,0.0026142,0.0008714,0.0026142,0.0008714
59,883.724,0.78532,0.00595,0.02531,0.42244,0.88152,0.9951,1,0.995,0.60381,0.9951,1,0.995,0.995,1.54341,0.00749,0.00019,0.55063,1.095,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516
60,898.142,0.76897,0.00577,0.02232,0.42245,0.88543,0.99514,1,0.995,0.59005,0.99514,1,0.995,0.995,1.6647,0.00745,0.00012,0.55208,1.13202,0.0024954,0.0008318,0.0024954,0.0008318,0.0024954,0.0008318,0.0024954,0.0008318
61,912.899,0.77334,0.0051,0.0268,0.41559,0.88625,0.99521,1,0.995,0.57173,0.99521,1,0.995,0.995,1.68948,0.0074,0.00011,0.52764,1.15517,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812
62,927.518,0.74309,0.00582,0.02036,0.40779,0.87302,0.99519,1,0.995,0.52282,0.99519,1,0.995,0.995,1.75478,0.00889,0.00013,0.53598,1.20458,0.0023766,0.0007922,0.0023766,0.0007922,0.0023766,0.0007922,0.0023766,0.0007922
63,942.465,0.78659,0.00586,0.03666,0.42594,0.88281,0.9953,1,0.995,0.60219,0.9953,1,0.995,0.995,1.54482,0.00671,8e-05,0.51718,1.15521,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724
64,956.972,0.72911,0.00581,0.02838,0.40542,0.88043,0.99526,1,0.995,0.58129,0.99526,1,0.995,0.995,1.52203,0.00723,0.0001,0.51468,1.15731,0.0022578,0.0007526,0.0022578,0.0007526,0.0022578,0.0007526,0.0022578,0.0007526
65,971.722,0.73153,0.00524,0.02627,0.40431,0.87672,0.99522,1,0.995,0.59022,0.99522,1,0.995,0.995,1.40524,0.00746,0.0001,0.46905,1.12663,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328
66,986.106,0.71784,0.00588,0.02592,0.39261,0.8761,0.9951,1,0.995,0.57384,0.9951,1,0.995,0.995,1.6595,0.00782,0.0001,0.50757,1.1881,0.002139,0.000713,0.002139,0.000713,0.002139,0.000713,0.002139,0.000713
67,1000.85,0.72842,0.00577,0.03735,0.39735,0.88675,0.99479,1,0.995,0.53722,0.99479,1,0.995,0.995,1.73691,0.00869,0.00011,0.55964,1.23387,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932
68,1015.37,0.69994,0.00502,0.0244,0.38191,0.87169,0.99502,1,0.995,0.5609,0.99502,1,0.995,0.995,1.65215,0.00785,0.0001,0.54032,1.1841,0.0020202,0.0006734,0.0020202,0.0006734,0.0020202,0.0006734,0.0020202,0.0006734
69,1030.33,0.70317,0.00462,0.02137,0.39082,0.87513,0.99546,1,0.995,0.59772,0.99546,1,0.995,0.995,1.39509,0.00622,0.00013,0.47222,1.09529,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536
70,1044.85,0.67984,0.00549,0.02397,0.38281,0.86398,1,1,0.995,0.54734,1,1,0.995,0.995,1.53736,0.00751,9e-05,0.51935,1.12759,0.0019014,0.0006338,0.0019014,0.0006338,0.0019014,0.0006338,0.0019014,0.0006338
71,1059.65,0.70439,0.00467,0.01806,0.38444,0.86848,1,1,0.995,0.62578,1,1,0.995,0.995,1.42878,0.00697,8e-05,0.49283,1.13451,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614
72,1074.13,0.68041,0.00515,0.02542,0.37806,0.86608,1,1,0.995,0.60537,1,1,0.995,0.995,1.52681,0.00771,8e-05,0.50395,1.17217,0.0017826,0.0005942,0.0017826,0.0005942,0.0017826,0.0005942,0.0017826,0.0005942
73,1088.97,0.66339,0.00508,0.02413,0.37394,0.87065,1,1,0.995,0.60147,1,1,0.995,0.995,1.58506,0.00669,8e-05,0.51581,1.14273,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744
74,1103.41,0.65572,0.00485,0.0236,0.37219,0.85995,0.99542,1,0.995,0.60596,0.99542,1,0.995,0.995,1.59413,0.00823,7e-05,0.52532,1.14348,0.0016638,0.0005546,0.0016638,0.0005546,0.0016638,0.0005546,0.0016638,0.0005546
75,1118.17,0.64309,0.00496,0.02499,0.35639,0.85383,1,1,0.995,0.61045,1,1,0.995,0.995,1.57826,0.00723,6e-05,0.49025,1.11751,0.0016044,0.0005348,0.0016044,0.0005348,0.0016044,0.0005348,0.0016044,0.0005348
76,1132.57,0.64542,0.00468,0.03114,0.37041,0.85595,0.99527,1,0.995,0.596,0.99527,1,0.995,0.995,1.69047,0.00887,5e-05,0.53647,1.20066,0.001545,0.000515,0.001545,0.000515,0.001545,0.000515,0.001545,0.000515
77,1147.34,0.64283,0.00463,0.02051,0.3598,0.8576,0.99549,1,0.995,0.60693,0.99549,1,0.995,0.995,1.54113,0.00788,7e-05,0.52911,1.12107,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952
78,1161.88,0.63787,0.00498,0.02351,0.35964,0.86202,1,1,0.995,0.58771,1,1,0.995,0.995,1.57515,0.00837,5e-05,0.51175,1.16264,0.0014262,0.0004754,0.0014262,0.0004754,0.0014262,0.0004754,0.0014262,0.0004754
79,1180.21,0.63809,0.00507,0.01471,0.36006,0.85402,0.9953,1,0.995,0.57448,0.9953,1,0.995,0.995,1.54487,0.0087,5e-05,0.5337,1.17536,0.0013668,0.0004556,0.0013668,0.0004556,0.0013668,0.0004556,0.0013668,0.0004556
80,1194.68,0.6127,0.00482,0.02024,0.33692,0.85177,0.9955,1,0.995,0.59914,0.9955,1,0.995,0.995,1.54942,0.00874,4e-05,0.5164,1.17654,0.0013074,0.0004358,0.0013074,0.0004358,0.0013074,0.0004358,0.0013074,0.0004358
81,1209.5,0.6147,0.00414,0.02334,0.34151,0.84466,1,1,0.995,0.5939,1,1,0.995,0.995,1.57514,0.00841,4e-05,0.52977,1.16507,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416
82,1223.93,0.62394,0.00453,0.02954,0.34334,0.84252,1,1,0.995,0.61183,1,1,0.995,0.995,1.5172,0.00789,4e-05,0.53512,1.17165,0.0011886,0.0003962,0.0011886,0.0003962,0.0011886,0.0003962,0.0011886,0.0003962
83,1238.71,0.58524,0.00383,0.02663,0.33515,0.84893,0.9955,1,0.995,0.60474,0.9955,1,0.995,0.995,1.53069,0.00769,5e-05,0.51402,1.13419,0.0011292,0.0003764,0.0011292,0.0003764,0.0011292,0.0003764,0.0011292,0.0003764
84,1253.14,0.61495,0.00447,0.0359,0.35222,0.85337,1,1,0.995,0.59705,1,1,0.995,0.995,1.57176,0.00858,4e-05,0.52344,1.15639,0.0010698,0.0003566,0.0010698,0.0003566,0.0010698,0.0003566,0.0010698,0.0003566
85,1267.9,0.59367,0.00393,0.03784,0.34356,0.852,1,1,0.995,0.56635,1,1,0.995,0.995,1.6607,0.00912,5e-05,0.56732,1.17838,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368
86,1282.33,0.59843,0.00451,0.01949,0.34562,0.84885,0.99544,1,0.995,0.61019,0.99544,1,0.995,0.995,1.54169,0.00789,6e-05,0.50314,1.16295,0.000951,0.000317,0.000951,0.000317,0.000951,0.000317,0.000951,0.000317
87,1297.21,0.57855,0.00426,0.02556,0.33804,0.85128,1,1,0.995,0.61854,1,1,0.995,0.995,1.42326,0.00763,6e-05,0.51239,1.1431,0.0008916,0.0002972,0.0008916,0.0002972,0.0008916,0.0002972,0.0008916,0.0002972
88,1311.63,0.58905,0.00426,0.01881,0.33355,0.84902,0.9955,1,0.995,0.61749,0.9955,1,0.995,0.995,1.50892,0.00755,6e-05,0.49191,1.14695,0.0008322,0.0002774,0.0008322,0.0002774,0.0008322,0.0002774,0.0008322,0.0002774
89,1326.5,0.55812,0.00372,0.01464,0.31899,0.83867,0.99547,1,0.995,0.5886,0.99547,1,0.995,0.995,1.53358,0.00753,5e-05,0.53223,1.1514,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576
90,1340.91,0.57191,0.00402,0.0122,0.32204,0.84655,0.99546,1,0.995,0.60948,0.99546,1,0.995,0.995,1.50798,0.0075,5e-05,0.49686,1.14837,0.0007134,0.0002378,0.0007134,0.0002378,0.0007134,0.0002378,0.0007134,0.0002378
91,1357.37,0.50528,0.00314,0.00342,0.28962,0.83977,0.99549,1,0.995,0.61286,0.99549,1,0.995,0.995,1.48939,0.00702,4e-05,0.49254,1.14032,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218
92,1371.83,0.5103,0.00291,0.0007,0.28991,0.83411,0.99545,1,0.995,0.60945,0.99545,1,0.995,0.995,1.50589,0.0075,4e-05,0.48774,1.13231,0.0005946,0.0001982,0.0005946,0.0001982,0.0005946,0.0001982,0.0005946,0.0001982
93,1386.61,0.49214,0.0027,0.00625,0.28736,0.82826,1,1,0.995,0.61441,1,1,0.995,0.995,1.49098,0.00698,4e-05,0.5103,1.12026,0.0005352,0.0001784,0.0005352,0.0001784,0.0005352,0.0001784,0.0005352,0.0001784
94,1401.05,0.47444,0.0029,0.00039,0.27231,0.82241,1,1,0.995,0.61178,1,1,0.995,0.995,1.48448,0.00718,4e-05,0.48482,1.11749,0.0004758,0.0001586,0.0004758,0.0001586,0.0004758,0.0001586,0.0004758,0.0001586
95,1415.8,0.49575,0.00277,0.00182,0.28211,0.8355,0.99501,1,0.995,0.59733,0.99501,1,0.995,0.995,1.55322,0.00783,4e-05,0.48851,1.15021,0.0004164,0.0001388,0.0004164,0.0001388,0.0004164,0.0001388,0.0004164,0.0001388
96,1430.33,0.46847,0.00299,0.0033,0.27424,0.83663,0.99558,1,0.995,0.61878,0.99558,1,0.995,0.995,1.51411,0.00726,4e-05,0.49866,1.14328,0.000357,0.000119,0.000357,0.000119,0.000357,0.000119,0.000357,0.000119
97,1445.13,0.4672,0.00273,0.00199,0.26707,0.83708,1,1,0.995,0.62939,1,1,0.995,0.995,1.44105,0.00706,4e-05,0.48272,1.11587,0.0002976,9.92e-05,0.0002976,9.92e-05,0.0002976,9.92e-05,0.0002976,9.92e-05
98,1459.48,0.46649,0.0028,0.00474,0.27133,0.82239,1,1,0.995,0.60176,1,1,0.995,0.995,1.49964,0.00713,4e-05,0.48481,1.12508,0.0002382,7.94e-05,0.0002382,7.94e-05,0.0002382,7.94e-05,0.0002382,7.94e-05
