epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
47,820.012,0.70362,0.00885,0.01925,0.35608,0.83364,0.99465,1,0.995,0.79278,0.99465,1,0.995,0.995,0.88311,0.001,0.00103,0.32232,0.95087,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892
48,837.183,0.67445,0.00841,0.00868,0.35218,0.83091,0.99464,1,0.995,0.76721,0.99464,1,0.995,0.995,0.92391,0.00132,0.00072,0.34106,1.00694,0.0032082,0.0010694,0.0032082,0.0010694,0.0032082,0.0010694,0.0032082,0.0010694
49,853.831,0.68038,0.00554,0.01638,0.34694,0.8251,0.99473,1,0.995,0.75683,0.99473,1,0.995,0.995,0.95775,0.00096,0.00034,0.37035,1.05789,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496
50,870.51,0.65908,0.00431,0.01118,0.34645,0.81657,0.9946,1,0.995,0.77517,0.9946,1,0.995,0.995,0.90082,0.00104,0.00018,0.3382,1.00218,0.0030894,0.0010298,0.0030894,0.0010298,0.0030894,0.0010298,0.0030894,0.0010298
51,887.152,0.6775,0.0047,0.01022,0.34861,0.82756,0.99476,1,0.995,0.78827,0.99476,1,0.995,0.995,0.98647,0.00077,0.00011,0.34478,1.01182,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101
52,904.239,0.66356,0.00679,0.01523,0.34371,0.82319,0.99485,1,0.995,0.74127,0.99485,1,0.995,0.995,0.97967,0.00083,7e-05,0.33417,1.01378,0.0029706,0.0009902,0.0029706,0.0009902,0.0029706,0.0009902,0.0029706,0.0009902
53,920.935,0.64077,0.00389,0.0152,0.33663,0.81595,0.99462,1,0.995,0.78939,0.99462,1,0.995,0.995,0.9624,0.00097,8e-05,0.34146,1.02496,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704
54,937.657,0.65337,0.0072,0.01741,0.33914,0.8255,0.99448,1,0.995,0.76162,0.99448,1,0.995,0.995,0.94495,0.0011,0.00011,0.33513,0.99875,0.0028518,0.0009506,0.0028518,0.0009506,0.0028518,0.0009506,0.0028518,0.0009506
55,954.402,0.64033,0.00696,0.01442,0.33327,0.81791,1,1,0.995,0.76985,1,1,0.995,0.995,1.01383,0.00073,0.00011,0.38171,1.01457,0.0027924,0.0009308,0.0027924,0.0009308,0.0027924,0.0009308,0.0027924,0.0009308
56,971.571,0.6109,0.00812,0.01262,0.32237,0.80806,0.99478,1,0.995,0.78627,0.99478,1,0.995,0.995,0.94267,0.00078,7e-05,0.32395,0.99465,0.002733,0.000911,0.002733,0.000911,0.002733,0.000911,0.002733,0.000911
