# 性能对比数据汇总 (论文格式)
# 维度: 2D | 总记录数: 3000 | 生成时间: 14-Mar-2026 21:40:05

# 主要性能指标 (均值±标准差)
算法,成功率(%),收敛时间(s),路径代价,计算时间(s),树节点数,平滑度
RRT_Basic,100.0,0.034±0.028,2320.66±122.18,0.034±0.028,269±171,0.470±0.037
RRT_Connect_Basic,100.0,0.009±0.004,2144.11±97.62,0.009±0.004,69±10,0.503±0.065
RRT_Star_Basic,100.0,0.115±0.102,1971.72±18.90,9.995±2.520,3850±104,0.288±0.083
Informed_RRT_Star_Basic,100.0,0.081±0.037,2315.86±104.12,0.306±0.081,3804±110,0.414±0.024
SC_RRT_Basic,100.0,0.020±0.013,2003.42±60.97,0.020±0.013,206±32,0.156±0.128
Dynamic_RRT_Basic,100.0,0.038±0.031,2281.84±125.50,0.038±0.031,293±157,0.462±0.035

# 详细运行数据
算法,运行序号,成功,收敛时间(s),路径代价,计算时间(s),树节点数,平滑度
SC_RRT_Basic,137,1,0.017,1955.52,0.017,257,0.211
Dynamic_RRT_Basic,138,1,0.043,2548.65,0.043,218,0.507
RRT_Basic,139,1,0.019,2308.24,0.019,158,0.485
RRT_Connect_Basic,140,1,0.009,2018.14,0.009,57,0.381
RRT_Star_Basic,141,1,0.136,1969.97,8.970,3694,0.119
Informed_RRT_Star_Basic,142,1,0.145,2227.26,0.412,3794,0.396
SC_RRT_Basic,143,1,0.035,1971.96,0.035,197,0.195
Dynamic_RRT_Basic,144,1,0.035,2252.84,0.036,231,0.436
RRT_Basic,145,1,0.025,2191.03,0.025,167,0.502
RRT_Connect_Basic,146,1,0.030,2084.12,0.030,81,0.449
RRT_Star_Basic,147,1,0.933,1969.37,10.989,3689,0.171
Informed_RRT_Star_Basic,148,1,0.062,2186.69,0.455,3942,0.406
SC_RRT_Basic,149,1,0.047,2072.60,0.047,235,0.400
Dynamic_RRT_Basic,150,1,0.028,2252.84,0.028,177,0.482
RRT_Basic,151,1,0.051,2514.46,0.051,289,0.447
RRT_Connect_Basic,152,1,0.014,2065.74,0.014,63,0.463
RRT_Star_Basic,153,1,0.078,1951.23,13.616,3754,0.330
Informed_RRT_Star_Basic,154,1,0.089,2311.81,0.340,3741,0.396
SC_RRT_Basic,155,1,0.051,1994.62,0.051,237,0.035
Dynamic_RRT_Basic,156,1,0.076,2367.39,0.076,382,0.437
RRT_Basic,157,1,0.044,2200.77,0.044,176,0.464
RRT_Connect_Basic,158,1,0.007,2082.20,0.007,62,0.601
RRT_Star_Basic,159,1,0.204,1978.61,13.946,3801,0.363
Informed_RRT_Star_Basic,160,1,0.118,2223.64,0.500,3793,0.413
SC_RRT_Basic,161,1,0.026,2030.18,0.026,169,0.047
Dynamic_RRT_Basic,162,1,0.012,2176.47,0.012,118,0.506
RRT_Basic,163,1,0.022,2355.82,0.022,172,0.490
RRT_Connect_Basic,164,1,0.006,2039.80,0.006,55,0.474
RRT_Star_Basic,165,1,0.067,1978.80,12.715,3883,0.215
Informed_RRT_Star_Basic,166,1,0.105,2406.65,0.461,3890,0.440
SC_RRT_Basic,167,1,0.043,2070.46,0.043,200,0.271
Dynamic_RRT_Basic,168,1,0.080,2461.30,0.080,373,0.488
RRT_Basic,169,1,0.051,2531.75,0.052,306,0.419
RRT_Connect_Basic,170,1,0.011,2053.81,0.011,64,0.453
RRT_Star_Basic,171,1,0.061,1961.53,13.779,3913,0.326
Informed_RRT_Star_Basic,172,1,0.182,2380.68,0.395,3739,0.438
SC_RRT_Basic,173,1,0.033,1961.72,0.033,158,0.026
Dynamic_RRT_Basic,174,1,0.171,2447.37,0.172,680,0.538
RRT_Basic,175,1,0.087,2409.87,0.087,453,0.447
RRT_Connect_Basic,176,1,0.014,2118.65,0.014,79,0.473
RRT_Star_Basic,177,1,0.060,1985.01,14.413,3879,0.314
Informed_RRT_Star_Basic,178,1,0.137,2428.09,0.390,3768,0.371
SC_RRT_Basic,179,1,0.032,1959.66,0.032,177,0.019
Dynamic_RRT_Basic,180,1,0.030,2214.66,0.031,270,0.452
RRT_Basic,181,1,0.026,2403.96,0.026,211,0.488
RRT_Connect_Basic,182,1,0.008,2117.77,0.008,64,0.475
RRT_Star_Basic,183,1,0.049,1960.77,14.702,3957,0.331
Informed_RRT_Star_Basic,184,1,0.076,2265.97,0.368,3850,0.399
SC_RRT_Basic,185,1,0.021,2002.23,0.021,176,0.269
Dynamic_RRT_Basic,186,1,0.025,2176.47,0.025,212,0.497
RRT_Basic,187,1,0.056,2454.19,0.056,361,0.464
RRT_Connect_Basic,188,1,0.008,2134.71,0.008,65,0.471
RRT_Star_Basic,189,1,0.063,1960.91,16.402,4036,0.340
Informed_RRT_Star_Basic,190,1,0.059,2209.99,0.401,3945,0.429
SC_RRT_Basic,191,1,0.059,1996.53,0.059,283,0.023
Dynamic_RRT_Basic,192,1,0.055,2672.86,0.056,270,0.417
RRT_Basic,193,1,0.037,2297.39,0.037,235,0.480
RRT_Connect_Basic,194,1,0.010,2102.03,0.010,67,0.627
RRT_Star_Basic,195,1,0.410,1959.71,12.064,3791,0.339
Informed_RRT_Star_Basic,196,1,0.126,2524.70,0.417,3750,0.368
SC_RRT_Basic,197,1,0.047,2037.03,0.047,231,0.257
Dynamic_RRT_Basic,198,1,0.050,2321.52,0.051,354,0.442
RRT_Basic,199,1,0.019,2177.41,0.019,155,0.453
RRT_Connect_Basic,200,1,0.009,2091.72,0.009,77,0.533
RRT_Star_Basic,201,1,0.048,1947.11,14.127,3981,0.319
Informed_RRT_Star_Basic,202,1,0.140,2242.68,0.488,3933,0.435
SC_RRT_Basic,203,1,0.034,1967.15,0.034,201,0.038
Dynamic_RRT_Basic,204,1,0.016,2329.21,0.016,171,0.453
RRT_Basic,205,1,0.022,2243.58,0.022,129,0.433
RRT_Connect_Basic,206,1,0.013,2090.05,0.013,60,0.514
RRT_Star_Basic,207,1,0.182,1973.85,11.871,3804,0.347
Informed_RRT_Star_Basic,208,1,0.097,2273.91,0.446,3860,0.405
SC_RRT_Basic,209,1,0.045,2022.99,0.045,222,0.058
Dynamic_RRT_Basic,210,1,0.037,2176.47,0.037,170,0.467
RRT_Basic,211,1,0.026,2187.67,0.026,205,0.474
RRT_Connect_Basic,212,1,0.024,2274.37,0.024,75,0.568
RRT_Star_Basic,213,1,0.132,1984.80,14.659,3845,0.336
Informed_RRT_Star_Basic,214,1,0.077,2358.17,0.375,3889,0.418
SC_RRT_Basic,215,1,0.039,2015.64,0.039,208,0.302
Dynamic_RRT_Basic,216,1,0.054,2583.19,0.054,343,0.479
RRT_Basic,217,1,0.036,2280.19,0.036,200,0.456
RRT_Connect_Basic,218,1,0.007,2063.14,0.007,64,0.499
RRT_Star_Basic,219,1,0.079,1947.06,13.230,3861,0.332
Informed_RRT_Star_Basic,220,1,0.098,2185.91,0.380,3816,0.446
SC_RRT_Basic,221,1,0.039,2018.05,0.039,183,0.031
Dynamic_RRT_Basic,222,1,0.040,2138.29,0.041,198,0.439
RRT_Basic,223,1,0.026,2238.10,0.026,124,0.413
RRT_Connect_Basic,224,1,0.016,2190.80,0.016,70,0.582
RRT_Star_Basic,225,1,0.039,1970.11,14.260,3919,0.145
Informed_RRT_Star_Basic,226,1,0.095,2453.16,0.383,3612,0.396
SC_RRT_Basic,227,1,0.044,2044.74,0.044,242,0.335
Dynamic_RRT_Basic,228,1,0.115,2405.13,0.116,598,0.450
RRT_Basic,229,1,0.064,2207.99,0.064,255,0.459
RRT_Connect_Basic,230,1,0.015,2210.47,0.015,72,0.590
RRT_Star_Basic,231,1,0.097,1965.51,14.408,3907,0.342
Informed_RRT_Star_Basic,232,1,0.185,2383.13,0.414,3785,0.408
SC_RRT_Basic,233,1,0.073,1994.77,0.073,311,0.024
Dynamic_RRT_Basic,234,1,0.017,2176.47,0.017,150,0.510
RRT_Basic,235,1,0.021,2370.90,0.021,146,0.424
RRT_Connect_Basic,236,1,0.009,2114.02,0.009,73,0.448
RRT_Star_Basic,237,1,0.098,1987.81,16.172,3872,0.229
Informed_RRT_Star_Basic,238,1,0.084,2169.68,0.435,3833,0.400
SC_RRT_Basic,239,1,0.044,1997.55,0.044,207,0.199
Dynamic_RRT_Basic,240,1,0.026,2443.76,0.027,211,0.451
RRT_Basic,241,1,0.051,2618.76,0.052,285,0.443
RRT_Connect_Basic,242,1,0.008,2047.16,0.008,64,0.430
RRT_Star_Basic,243,1,0.117,1954.09,12.269,3860,0.317
Informed_RRT_Star_Basic,244,1,0.121,2253.40,0.479,3920,0.430
SC_RRT_Basic,245,1,0.033,2031.81,0.033,199,0.262
Dynamic_RRT_Basic,246,1,0.031,2443.76,0.031,252,0.507
RRT_Basic,247,1,0.018,2196.95,0.018,149,0.435
RRT_Connect_Basic,248,1,0.013,2238.11,0.013,96,0.534
RRT_Star_Basic,249,1,0.165,1961.32,14.180,3875,0.322
Informed_RRT_Star_Basic,250,1,0.197,2348.00,0.510,3911,0.408
SC_RRT_Basic,251,1,0.045,2219.49,0.045,322,0.057
Dynamic_RRT_Basic,252,1,0.016,2214.66,0.016,145,0.477
RRT_Basic,253,1,0.038,2293.10,0.038,228,0.469
RRT_Connect_Basic,254,1,0.008,2030.74,0.008,61,0.469
RRT_Star_Basic,255,1,0.114,1998.00,16.351,3879,0.178
Informed_RRT_Star_Basic,256,1,0.119,2319.60,0.500,3659,0.430
SC_RRT_Basic,257,1,0.047,2079.40,0.047,222,0.424
Dynamic_RRT_Basic,258,1,0.014,2252.84,0.014,122,0.491
RRT_Basic,259,1,0.041,2351.10,0.041,253,0.463
RRT_Connect_Basic,260,1,0.008,2119.43,0.008,71,0.447
RRT_Star_Basic,261,1,0.113,1970.77,14.499,3955,0.330
Informed_RRT_Star_Basic,262,1,0.108,2271.93,0.359,3761,0.410
SC_RRT_Basic,263,1,0.038,2000.87,0.038,232,0.027
Dynamic_RRT_Basic,264,1,0.043,2284.84,0.043,291,0.475
RRT_Basic,265,1,0.031,2352.40,0.031,134,0.458
RRT_Connect_Basic,266,1,0.016,2068.82,0.016,61,0.477
RRT_Star_Basic,267,1,0.063,1952.90,15.604,3914,0.115
Informed_RRT_Star_Basic,268,1,0.054,2211.61,0.381,3807,0.407
SC_RRT_Basic,269,1,0.036,1937.58,0.036,191,0.186
Dynamic_RRT_Basic,270,1,0.014,2131.32,0.014,156,0.443
RRT_Basic,271,1,0.029,2344.47,0.029,233,0.466
RRT_Connect_Basic,272,1,0.008,2239.39,0.008,72,0.599
RRT_Star_Basic,273,1,0.065,1979.13,12.267,3877,0.210
Informed_RRT_Star_Basic,274,1,0.087,2212.64,0.477,3779,0.407
SC_RRT_Basic,275,1,0.035,2015.10,0.035,204,0.357
Dynamic_RRT_Basic,276,1,0.011,2176.47,0.011,98,0.456
RRT_Basic,277,1,0.033,2315.01,0.033,203,0.455
RRT_Connect_Basic,278,1,0.008,2078.34,0.008,57,0.482
RRT_Star_Basic,279,1,0.090,1994.40,14.556,3943,0.207
Informed_RRT_Star_Basic,280,1,0.098,2238.33,0.439,3917,0.401
SC_RRT_Basic,281,1,0.035,1983.96,0.035,202,0.156
Dynamic_RRT_Basic,282,1,0.016,2443.66,0.016,168,0.485
RRT_Basic,283,1,0.093,2235.61,0.093,620,0.400
RRT_Connect_Basic,284,1,0.022,2184.10,0.022,79,0.544
RRT_Star_Basic,285,1,0.123,1990.69,14.809,3916,0.332
Informed_RRT_Star_Basic,286,1,0.170,2395.11,0.462,3882,0.427
SC_RRT_Basic,287,1,0.050,2143.88,0.050,250,0.292
Dynamic_RRT_Basic,288,1,0.048,2291.03,0.048,367,0.472
RRT_Basic,289,1,0.081,2485.82,0.081,572,0.486
RRT_Connect_Basic,290,1,0.011,2152.42,0.011,64,0.521
RRT_Star_Basic,291,1,0.128,1965.78,14.830,3849,0.342
Informed_RRT_Star_Basic,292,1,0.097,2184.93,0.470,3915,0.417
SC_RRT_Basic,293,1,0.040,2053.74,0.040,192,0.265
Dynamic_RRT_Basic,294,1,0.052,2505.09,0.053,414,0.428
RRT_Basic,295,1,0.036,2361.46,0.036,182,0.534
RRT_Connect_Basic,296,1,0.012,2051.45,0.012,67,0.426
RRT_Star_Basic,297,1,0.031,1976.70,15.370,3971,0.350
Informed_RRT_Star_Basic,298,1,0.095,2352.40,0.351,3728,0.448
SC_RRT_Basic,299,1,0.051,2086.96,0.051,254,0.303
Dynamic_RRT_Basic,300,1,0.052,2309.93,0.052,339,0.454
RRT_Basic,301,1,0.014,2228.49,0.014,108,0.453
RRT_Connect_Basic,302,1,0.007,2080.89,0.007,62,0.471
RRT_Star_Basic,303,1,0.181,1942.46,13.666,3784,0.140
Informed_RRT_Star_Basic,304,1,0.179,2302.13,0.455,3775,0.429
SC_RRT_Basic,305,1,0.034,2034.87,0.034,225,0.321
Dynamic_RRT_Basic,306,1,0.151,2565.14,0.151,624,0.515
RRT_Basic,307,1,0.213,2420.65,0.213,904,0.465
RRT_Connect_Basic,308,1,0.021,2159.91,0.021,70,0.604
RRT_Star_Basic,309,1,0.094,1966.10,13.102,3827,0.335
Informed_RRT_Star_Basic,310,1,0.105,2363.05,0.405,3855,0.412
SC_RRT_Basic,311,1,0.036,2134.72,0.036,225,0.032
Dynamic_RRT_Basic,312,1,0.043,2252.84,0.044,349,0.513
RRT_Basic,313,1,0.014,2171.94,0.014,129,0.492
RRT_Connect_Basic,314,1,0.007,1996.21,0.007,60,0.322
RRT_Star_Basic,315,1,0.379,1969.78,11.485,3720,0.367
Informed_RRT_Star_Basic,316,1,0.063,2396.63,0.375,3737,0.452
SC_RRT_Basic,317,1,0.036,1951.87,0.036,206,0.202
Dynamic_RRT_Basic,318,1,0.030,2329.21,0.031,148,0.450
RRT_Basic,319,1,0.029,2325.99,0.029,183,0.483
RRT_Connect_Basic,320,1,0.006,2076.06,0.006,60,0.455
RRT_Star_Basic,321,1,0.089,1976.64,14.256,3854,0.187
Informed_RRT_Star_Basic,322,1,0.092,2230.45,0.527,3747,0.385
SC_RRT_Basic,323,1,0.041,2015.78,0.041,198,0.044
Dynamic_RRT_Basic,324,1,0.055,2329.21,0.056,383,0.485
RRT_Basic,325,1,0.049,2185.22,0.049,410,0.467
RRT_Connect_Basic,326,1,0.012,2150.55,0.012,89,0.401
RRT_Star_Basic,327,1,0.092,1977.46,14.768,3765,0.227
Informed_RRT_Star_Basic,328,1,0.084,2393.60,0.317,3581,0.431
SC_RRT_Basic,329,1,0.041,1939.23,0.041,217,0.022
Dynamic_RRT_Basic,330,1,0.023,2138.29,0.024,206,0.475
RRT_Basic,331,1,0.165,2624.57,0.165,1084,0.527
RRT_Connect_Basic,332,1,0.018,2147.01,0.018,66,0.586
RRT_Star_Basic,333,1,0.133,1950.33,12.448,3910,0.340
Informed_RRT_Star_Basic,334,1,0.096,2253.83,0.394,3920,0.413
SC_RRT_Basic,335,1,0.033,1919.76,0.033,218,0.149
Dynamic_RRT_Basic,336,1,0.019,2291.03,0.019,171,0.512
RRT_Basic,337,1,0.408,2929.45,0.408,2140,0.438
RRT_Connect_Basic,338,1,0.026,2180.47,0.026,72,0.556
RRT_Star_Basic,339,1,0.214,1961.30,14.017,3773,0.313
Informed_RRT_Star_Basic,340,1,0.063,2246.51,0.430,3872,0.427
SC_RRT_Basic,341,1,0.048,2032.88,0.048,268,0.301
Dynamic_RRT_Basic,342,1,0.028,2176.47,0.028,142,0.387
