scenario,dimension,max_iterations_limit,pid_config,Kp,Ki,Kd,mode,trial_id,success,path_length,planning_time,iterations,tree_nodes,smoothness,clearance,convergence_time,first_solution_iter,avg_tracking_error,oscillation_count,oscillation_rate,failure_mode,final_ellipsoid_volume,effective_sampling_ratio,samples_in_ellipsoid,total_samples_attempted,esr_tree_A,esr_tree_B
三维高密度场景,3,1200,Kp_0.15,0.15000000000000002,0.04,0.1,custom_pid,7,True,2771.8957063504417,12.31095838546753,1000,1924,52.393699482545834,122.43184596022283,9.076984167098999,800.0,799.2782679331194,233,0.233,none,242725496590.1645,0.26076076076076077,521,1998,0.25125125125125125,0.2702702702702703
三维高密度场景,3,1200,Kp_0.15,0.15000000000000002,0.04,0.1,custom_pid,8,True,3758.946950426706,12.22633957862854,1000,1936,50.33617330417063,82.30066672117704,8.967099905014038,800.0,810.7320777540153,225,0.225,none,244267226433.95575,0.2752752752752753,550,1998,0.26326326326326327,0.2872872872872873
三维高密度场景,3,1200,Kp_0.15,0.15000000000000002,0.04,0.1,custom_pid,9,True,4645.188720727334,12.282609462738037,1000,1947,45.91337700846785,101.63295198538435,8.976314067840576,800.0,811.3335752927063,208,0.208,none,244584911276.45187,0.27127127127127126,542,1998,0.2652652652652653,0.2772772772772773
三维高密度场景,3,1200,Kp_0.15,0.15000000000000002,0.04,0.1,custom_pid,10,True,4248.359901709083,12.26093578338623,1000,1935,51.10993228447424,95.20532136554046,8.992284536361694,800.0,813.3608009170115,257,0.257,none,247899371857.7087,0.27127127127127126,542,1998,0.2602602602602603,0.2822822822822823
三维高密度场景,3,1200,Kp_0.15,0.15000000000000002,0.04,0.1,custom_pid,11,True,3316.258596140085,9.573171615600586,846,1646,51.283883700650854,93.71545124983982,6.216445446014404,646.0,745.010559462029,190,0.22458628841607564,none,244159273986.21976,0.25976331360946747,439,1690,0.2319526627218935,0.2875739644970414
三维高密度场景,3,1200,Kp_0.15,0.15000000000000002,0.04,0.1,custom_pid,12,True,3218.6663333897454,12.169282913208008,1000,1938,45.38936422804627,111.2837517776395,8.8949134349823,800.0,807.9878755282659,234,0.234,none,244166106092.4921,0.26226226226226224,524,1998,0.2502502502502503,0.27427427427427425
三维高密度场景,3,1200,Kp_0.15,0.15000000000000002,0.04,0.1,custom_pid,13,True,3738.249432242027,12.069465160369873,1000,1928,45.648907332309214,110.68233529937514,8.81328296661377,800.0,809.2704004001083,235,0.235,none,253547197383.8279,0.25925925925925924,518,1998,0.25325325325325326,0.2652652652652653
三维高密度场景,3,1200,Kp_0.15,0.15000000000000002,0.04,0.1,custom_pid,14,True,3236.9764462362255,12.454053163528442,1000,1939,45.75200838157729,95.62551164187376,9.16952896118164,800.0,797.2585646331186,244,0.244,none,238939975263.6966,0.25325325325325326,506,1998,0.25325325325325326,0.25325325325325326
三维高密度场景,3,1200,Kp_0.15,0.15000000000000002,0.04,0.1,custom_pid,15,True,3190.6318439164465,2.366253137588501,291,564,46.77358641926547,93.53707127006635,0.6842279434204102,91.0,644.5258843974852,58,0.19931271477663232,none,242789496049.66306,0.28448275862068967,165,580,0.25517241379310346,0.3137931034482759
三维高密度场景,3,1200,Kp_0.15,0.15000000000000002,0.04,0.1,custom_pid,16,True,3696.6008711881495,12.216580629348755,1000,1928,46.68117568796867,91.06527491120826,8.947956323623657,800.0,840.6134065460794,215,0.215,none,237899511889.43246,0.2702702702702703,540,1998,0.2902902902902903,0.2502502502502503
三维高密度场景,3,1200,Kp_0.15,0.15000000000000002,0.04,0.1,custom_pid,17,True,3665.5895022674595,11.981929540634155,1000,1913,47.289087078701954,104.97491211054788,8.762993812561035,800.0,792.0833108393822,209,0.209,none,252949105456.02805,0.25625625625625625,512,1998,0.24924924924924924,0.26326326326326327
三维高密度场景,3,1200,Kp_0.15,0.15000000000000002,0.04,0.1,custom_pid,18,True,3208.4790833665793,12.270426034927368,1000,1917,48.656461350469364,93.92969811828763,9.026338577270508,800.0,752.8970095695845,243,0.243,none,244073304818.41718,0.26076076076076077,521,1998,0.24124124124124124,0.2802802802802803
三维高密度场景,3,1200,Kp_0.15,0.15000000000000002,0.04,0.1,custom_pid,19,True,4401.62570668524,12.143903017044067,1000,1925,49.03270308123984,101.40173406151354,8.899607419967651,800.0,790.0026106412424,235,0.235,none,240471127887.0925,0.2782782782782783,556,1998,0.24424424424424424,0.3123123123123123
三维高密度场景,3,1200,Kp_0.15,0.15000000000000002,0.04,0.1,custom_pid,20,True,2958.596101680097,1.9815163612365723,249,474,48.498822904136524,99.98394256854901,0.3727405071258545,49.0,592.8860344016509,42,0.1686746987951807,none,244981746101.72162,0.2600806451612903,129,496,0.24596774193548387,0.27419354838709675
三维高密度场景,3,1200,Kp_0.15,0.15000000000000002,0.04,0.1,custom_pid,21,True,3760.049546064489,12.161705017089844,1000,1936,47.80892828844952,98.155900786078,8.891772747039795,800.0,819.3940512067242,242,0.242,none,251705814737.84988,0.26426426426426425,528,1998,0.2722722722722723,0.25625625625625625
三维高密度场景,3,1200,Kp_0.15,0.15000000000000002,0.04,0.1,custom_pid,22,True,3911.033203234723,11.921734094619751,1000,1908,48.46174883841447,92.95039967425559,8.704937934875488,800.0,770.635427436788,235,0.235,none,242835337078.241,0.26626626626626626,532,1998,0.24824824824824826,0.28428428428428426
三维高密度场景,3,1200,Kp_0.15,0.15000000000000002,0.04,0.1,custom_pid,23,True,3642.1316473783963,12.334337949752808,1000,1935,47.95451350638679,109.01693930701977,9.057430028915405,800.0,827.5151490143121,213,0.213,none,245739611572.67825,0.2757757757757758,551,1998,0.25925925925925924,0.2922922922922923
三维高密度场景,3,1200,Kp_0.15,0.15000000000000002,0.04,0.1,custom_pid,24,True,3130.306689765313,2.056110382080078,258,496,49.214247211801755,88.02961991932409,0.4323239326477051,58.0,640.0426230063558,57,0.22093023255813954,none,242825716990.28784,0.2918287937743191,150,514,0.31906614785992216,0.26459143968871596
三维高密度场景,3,1200,Kp_0.15,0.15000000000000002,0.04,0.1,custom_pid,25,True,3239.6571771559584,12.1616849899292,1000,1937,39.193465957404676,92.91635596865233,8.895161628723145,800.0,787.8275270510998,258,0.258,none,249787698163.40912,0.26576576576576577,531,1998,0.2702702702702703,0.26126126126126126
三维高密度场景,3,1200,Kp_0.15,0.15000000000000002,0.04,0.1,custom_pid,26,True,3178.404361043962,2.1113057136535645,263,506,50.51917657683651,104.23056565104696,0.4695098400115967,63.0,620.6716330204825,45,0.17110266159695817,none,242792055107.94852,0.2729007633587786,143,524,0.2824427480916031,0.2633587786259542
三维高密度场景,3,1200,Kp_0.15,0.15000000000000002,0.04,0.1,custom_pid,27,True,3241.8155717280756,6.194987535476685,644,1262,41.21757651402699,101.36621379105033,3.9235804080963135,444.0,716.2232351308459,143,0.2220496894409938,none,248017546986.25317,0.24727838258164853,318,1286,0.2379471228615863,0.25660964230171074
三维高密度场景,3,1200,Kp_0.15,0.15000000000000002,0.04,0.1,custom_pid,28,True,2788.298099857997,12.134166955947876,1000,1931,51.924120084969886,88.22884943043142,8.862936973571777,800.0,833.902779370543,228,0.228,none,240652987923.16318,0.26326326326326327,526,1998,0.2672672672672673,0.25925925925925924
三维高密度场景,3,1200,Kp_0.15,0.15000000000000002,0.04,0.1,custom_pid,29,True,2877.500962557128,12.185271263122559,1000,1932,48.16678220063476,104.40500614521493,8.926000595092773,800.0,852.6076305941942,239,0.239,none,255475094335.36536,0.2807807807807808,561,1998,0.2802802802802803,0.28128128128128127
三维高密度场景,3,1200,Kp_0.15,0.15000000000000002,0.04,0.1,custom_pid,30,True,2458.899265651783,12.218628644943237,1000,1918,34.50469072454499,114.32838475920126,8.976411581039429,800.0,827.2589444141315,247,0.247,none,251448599324.2111,0.26626626626626626,532,1998,0.2672672672672673,0.2652652652652653
三维高密度场景,3,1200,Kp_0.20,0.20000000000000004,0.04,0.1,custom_pid,1,True,3637.392485337714,12.187386989593506,1000,1912,47.32607895858389,97.02522221760744,8.978305339813232,800.0,812.2565443400757,221,0.221,none,245636088917.2265,0.2707707707707708,541,1998,0.26626626626626626,0.2752752752752753
三维高密度场景,3,1200,Kp_0.20,0.20000000000000004,0.04,0.1,custom_pid,2,True,3169.411132624673,12.050048112869263,1000,1925,48.95487206962712,89.38891913687429,8.797276020050049,800.0,790.6023921801362,211,0.211,none,254424332840.2405,0.25375375375375375,507,1998,0.25125125125125125,0.25625625625625625
三维高密度场景,3,1200,Kp_0.20,0.20000000000000004,0.04,0.1,custom_pid,3,True,2841.9470854535252,12.079263687133789,1000,1932,51.88664326735781,106.72395342590765,8.816843271255493,800.0,792.4469706231177,223,0.223,none,253999240524.16217,0.25225225225225223,504,1998,0.2552552552552553,0.24924924924924924
