scenario,dimension,max_iterations_limit,pid_config,Kp,Ki,Kd,mode,trial_id,success,path_length,planning_time,iterations,tree_nodes,smoothness,clearance,convergence_time,first_solution_iter,avg_tracking_error,oscillation_count,oscillation_rate,failure_mode,final_ellipsoid_volume,effective_sampling_ratio,samples_in_ellipsoid,total_samples_attempted,esr_tree_A,esr_tree_B
二维高密度场景,2,750,P5_Mid-High,0.4,0.07,0.16,custom_pid,27,False,inf,2.769866466522217,750,1096,inf,0.0,inf,inf,528.8321097108633,161,0.21466666666666667,divergence,45385800.60701066,0.9873333333333333,1481,1500,0.9853333333333333,0.9893333333333333
二维高密度场景,2,750,P5_Mid-High,0.4,0.07,0.16,custom_pid,28,True,3147.7494896492985,2.099719285964966,602,815,39.216562307072124,26.73044374355693,1.3330347537994385,402.0,542.6982906147232,142,0.23588039867109634,none,46590488.968084686,0.9883527454242929,1188,1202,0.9850249584026622,0.9916805324459235
二维高密度场景,2,750,P5_Mid-High,0.4,0.07,0.16,custom_pid,29,False,inf,2.834645986557007,750,1127,inf,0.0,inf,inf,525.4001306301922,176,0.23466666666666666,divergence,45926985.72976988,0.992,1488,1500,0.9893333333333333,0.9946666666666667
二维高密度场景,2,750,P5_Mid-High,0.4,0.07,0.16,custom_pid,30,True,2594.883565692773,1.4589266777038574,413,590,39.64527802659279,33.12338303975888,0.7641637325286865,213.0,501.13737963966344,91,0.22033898305084745,none,46113456.91577862,0.9805825242718447,808,824,0.9830097087378641,0.9781553398058253
二维高密度场景,2,750,P6_High,0.5,0.1,0.2,custom_pid,1,False,inf,2.665112018585205,750,1001,inf,0.0,inf,inf,550.3007659409755,155,0.20666666666666667,divergence,46107624.439413235,0.992,1488,1500,0.9946666666666667,0.9893333333333333
二维高密度场景,2,750,P6_High,0.5,0.1,0.2,custom_pid,2,True,2783.7236225479264,1.4394192695617676,437,564,45.698453739392576,33.041147202498614,0.7237532138824463,237.0,522.4662780835475,98,0.2242562929061785,none,46958453.15064398,0.9724770642201835,848,872,0.9793577981651376,0.9655963302752294
二维高密度场景,2,750,P6_High,0.5,0.1,0.2,custom_pid,3,True,2811.7997899407183,1.738656759262085,476,712,40.842714919704385,29.836417577077277,1.0126934051513672,276.0,541.8455356201624,103,0.21638655462184875,none,46658834.78333482,0.9831578947368421,934,950,0.9831578947368421,0.9831578947368421
二维高密度场景,2,750,P6_High,0.5,0.1,0.2,custom_pid,4,True,2731.00400242061,1.5989267826080322,485,589,39.37284314693158,28.880386298998076,0.9226586818695068,285.0,498.0335905304831,90,0.18556701030927836,none,45803186.414239235,0.987603305785124,956,968,0.9834710743801653,0.9917355371900827
二维高密度场景,2,750,P6_High,0.5,0.1,0.2,custom_pid,5,True,2759.3507827600306,2.0489463806152344,639,801,47.10151641244886,29.44544789983153,1.318357229232788,439.0,534.1125541483103,137,0.21439749608763695,none,45720183.40388681,0.9851097178683386,1257,1276,0.987460815047022,0.9827586206896551
二维高密度场景,2,750,P6_High,0.5,0.1,0.2,custom_pid,6,True,2415.8354946393733,1.2154486179351807,357,475,38.79257459739028,27.35793511785503,0.5418145656585693,157.0,493.75856478299715,65,0.18207282913165265,none,46356472.645047985,0.9789325842696629,697,712,0.9719101123595506,0.9859550561797753
