# 性能对比数据汇总 (论文格式)
# 维度: 2D | 总记录数: 3000 | 生成时间: 15-Mar-2026 18:34:44

# 主要性能指标 (均值±标准差)
算法,成功率(%),收敛时间(s),路径代价,计算时间(s),树节点数,平滑度
RRT_Basic,100.0,0.046±0.033,2323.07±127.16,0.046±0.033,271±173,0.469±0.037
RRT_Connect_Basic,100.0,0.012±0.006,2145.80±97.67,0.012±0.006,70±10,0.497±0.064
RRT_Star_Basic,100.0,0.166±0.276,1969.06±18.73,13.387±1.675,3857±98,0.293±0.079
Informed_RRT_Star_Basic,100.0,0.215±0.124,2034.17±95.19,2.083±0.418,3855±97,0.191±0.052
SC_RRT_Basic,100.0,0.038±0.014,2004.27±61.58,0.038±0.014,209±34,0.162±0.133
Dynamic_RRT_Basic,100.0,0.056±0.058,2286.43±130.45,0.056±0.058,301±198,0.463±0.040

# 详细运行数据
算法,运行序号,成功,收敛时间(s),路径代价,计算时间(s),树节点数,平滑度
RRT_Basic,193,1,0.027,2175.44,0.027,237,0.402
RRT_Connect_Basic,194,1,0.010,2103.83,0.010,82,0.465
RRT_Star_Basic,195,1,0.054,1968.65,9.427,3860,0.353
Informed_RRT_Star_Basic,196,1,0.095,2007.79,1.346,3833,0.219
SC_RRT_Basic,197,1,0.011,1978.56,0.011,222,0.035
Dynamic_RRT_Basic,198,1,0.015,2176.47,0.015,167,0.406
RRT_Basic,199,1,0.035,2402.15,0.035,338,0.511
RRT_Connect_Basic,200,1,0.008,2005.39,0.008,63,0.355
RRT_Star_Basic,201,1,0.081,1951.82,8.834,3843,0.323
Informed_RRT_Star_Basic,202,1,0.213,2218.46,1.452,3662,0.208
SC_RRT_Basic,203,1,0.043,1937.79,0.043,201,0.176
Dynamic_RRT_Basic,204,1,0.052,2252.84,0.052,404,0.457
RRT_Basic,205,1,0.017,2158.17,0.017,141,0.486
RRT_Connect_Basic,206,1,0.007,2120.53,0.007,68,0.491
RRT_Star_Basic,207,1,0.086,1962.42,10.771,3925,0.343
Informed_RRT_Star_Basic,208,1,0.086,1921.56,1.928,3872,0.058
SC_RRT_Basic,209,1,0.026,1960.51,0.026,193,0.265
