environment_id,family,dimension,seed,algorithm,success,budget_limit,expansion_attempts,added_nodes,total_nodes,collision_checks,collision_rejections,rewire_attempts,rewire_successes,first_solution_attempt,first_solution_time_s,first_solution_nodes,first_solution_cost_mm,first_solution_efficiency,fixed_budget_time_s,fixed_budget_cost_mm,fixed_budget_efficiency,path_valid,map_index,seed_index,pareto_start_index,gamma_a_final,gamma_b_final,p_a_final,p_b_final,feedback_updates,pid_improvement_ema_final
calibration-2d-03,uniform_clutter,2,20030003,RRT*,1,5000,5000,3592,3593,25249,1249,20391,4142,1404.0,0.287424256966915,904.0,2052.204596147387,0.9303109021331529,1.4741573039791547,1952.5603372245766,0.9777870997407698,1,3,3,,,,,,,
calibration-2d-03,uniform_clutter,2,20030003,Informed-RRT*,1,5000,5000,3602,3603,33983,1216,29135,5070,1404.0,0.27972230699378997,904.0,2052.204596147387,0.9303109021331529,2.468799655965995,1942.0839301736721,0.9830616893230499,1,3,3,,,,,,,
calibration-2d-03,uniform_clutter,2,20030003,Dynamic-RRT,1,5000,5000,3264,3265,4343,1067,0,0,449.0,0.08690146601293236,248.0,2404.8964604866287,0.7938754705545018,1.5347170929890126,2404.8964604866287,0.7938754705545018,1,3,3,3101,,,,,,
calibration-2d-03,uniform_clutter,2,20030003,SC-RRT,1,5000,5000,3349,3351,16509,1238,9628,2985,486.0,0.03395541396457702,194.0,2436.325991223176,0.7836341754270559,1.471331234963145,2057.913570756281,0.9277300739612955,1,3,3,,1.2992757389051102,1.2992757389051102,0.9398314097354162,0.9398314097354162,99,0.03795261743628847
calibration-2d-03,uniform_clutter,2,20030004,RRT-Connect,1,5000,5000,3765,3767,5000,1235,0,0,753.0,0.03300668700831011,241.0,3046.115486611641,0.6267616305405977,0.49181379098445177,2456.900647464656,0.7770718409691588,1,3,4,,,,,,,
calibration-2d-03,uniform_clutter,2,20030004,RRT*,1,5000,5000,3600,3601,24450,1211,19622,3745,928.0,0.1575418550055474,554.0,1964.269588376844,0.9719583913027531,1.5866128219640814,1946.8366903533597,0.9806617671958668,1,3,4,,,,,,,
calibration-2d-03,uniform_clutter,2,20030004,Informed-RRT*,1,5000,5000,3656,3657,38358,1158,33521,4913,928.0,0.15212356497067958,554.0,1964.269588376844,0.9719583913027531,2.883985346998088,1943.7700916259175,0.9822089131985191,1,3,4,,,,,,,
calibration-2d-03,uniform_clutter,2,20030004,Dynamic-RRT,1,5000,5000,3225,3226,4348,1109,0,0,621.0,0.1490102400421165,356.0,2236.7609319624707,0.8535504541062466,1.5959582440555096,2236.7609319624707,0.8535504541062466,1,3,4,355,,,,,,
calibration-2d-03,uniform_clutter,2,20030004,SC-RRT,1,5000,5000,3452,3454,16141,875,9635,3464,219.0,0.018004612997174263,136.0,2179.1728776901828,0.8761068608872028,1.4052391179720871,1996.1183040519168,0.956450479577398,1,3,4,,1.2785316841502001,1.2785316841502001,0.95,0.95,99,0.037601220142274815
calibration-2d-03,uniform_clutter,2,20030004,RRT,1,5000,5000,3600,3601,4828,1211,0,0,928.0,0.04926169500686228,554.0,2363.3721220558155,0.8078238257050022,0.3194840619689785,2363.3721220558155,0.8078238257050022,1,3,4,,,,,,,
calibration-3d-00,uniform_clutter,3,30000000,RRT,1,5000,5000,4445,4446,4793,345,0,0,548.0,0.03500007902039215,493.0,3263.8074725918473,0.7164235666024515,0.4063138409983367,3263.8074725918473,0.7164235666024515,1,0,0,,,,,,,
calibration-3d-00,uniform_clutter,3,30000000,RRT-Connect,1,5000,5000,4786,4788,5000,214,0,0,98.0,0.007234345015604049,88.0,2465.620376946256,0.9483489883848215,0.7441464640432969,2465.620376946256,0.9483489883848215,1,0,0,,,,,,,
calibration-3d-00,uniform_clutter,3,30000000,RRT*,1,5000,5000,4445,4446,19222,345,14429,4913,548.0,0.08514001400908455,493.0,2568.754103166462,0.9102734229545903,1.5644712460343726,2479.0546059863364,0.9432097964165909,1,0,0,,,,,,,
calibration-3d-00,uniform_clutter,3,30000000,Informed-RRT*,1,5000,5000,4432,4433,30338,350,25546,11143,548.0,0.09105841798009351,493.0,2568.754103166462,0.9102734229545903,2.8535590549581684,2374.795793002741,0.9846188026387857,1,0,0,,,,,,,
calibration-3d-00,uniform_clutter,3,30000000,Dynamic-RRT,1,5000,5000,3948,3949,4280,326,0,0,268.0,0.08351735101314262,249.0,2700.1542359491,0.8659759354065515,1.9374947340111248,2700.1542359491,0.8659759354065515,1,0,0,254,,,,,,
